;,flag,bonus,(ID),isReachTest,noteFlag,noteBonus,type,pNum,launches(0/1/…の順に低くなる優先度をつける),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0,0,0,1,--,--,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,1,0,1,2,Re,--,0,1,0R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,2,0,2,2,B1,--,0,1,0B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,3,0,3,2,B2,--,0,1,0B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,4,0,4,2,Su,--,0,2,0S,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,5,0,5,2,PC,--,0,5,0PP,0CC,1P,1C,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,6,1,6,4,P-,--,0,3,0PP,1P,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,7,1,7,4,-C,--,0,3,0CC,1C,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0,1,8,4,--,R7,1,2,0R7:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,1,1,9,4,Re,R7,1,2,0R,1R7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,2,1,10,4,B1,R7,1,2,0B,1R7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,3,1,11,4,B2,R7,1,2,0B,1R7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,4,1,12,4,Su,R7,1,3,0S,1R7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,5,1,13,4,PC,R7,1,-6,0PP,0CC,0P,0C,1R7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,6,1,14,4,P-,R7,1,4,0PP,1P,2R7:,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,7,1,15,4,-C,R7,1,4,0CC,1C,2R7:,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,8,1,16,4,1A,R7,1,3,01A,1R7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,9,1,17,4,1B,R7,1,3,01B,1R7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,10,1,18,4,1C,R7,1,3,01C,1R7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,11,1,19,4,1D,R7,1,3,01D,1R7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0,2,20,4,--,B7,2,2,0B7:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,1,2,21,4,Re,B7,2,2,0R,1B7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,2,2,22,4,B1,B7,2,2,0B,1B7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,3,2,23,4,B2,B7,2,2,0B,1B7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,4,2,24,4,Su,B7,2,3,0S,1B7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,5,2,25,4,PC,B7,2,-6,0PP,0CC,0P,0C,1B7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,6,2,26,4,P-,B7,2,4,0PP,1P,2B7:,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,7,2,27,4,-C,B7,2,4,0CC,1C,2B7:,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,8,2,28,4,1A,B7,2,3,01A,1B7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,9,2,29,4,1B,B7,2,3,01B,1B7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,10,2,30,4,1C,B7,2,3,01C,1B7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,11,2,31,4,1D,B7,2,3,01D,1B7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0,3,32,4,--,U7,3,2,0U7:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,1,3,33,4,Re,U7,3,2,0R,1U7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,2,3,34,4,B1,U7,3,2,0B,1U7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,3,3,35,4,B2,U7,3,2,0B,1U7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,4,3,36,4,Su,U7,3,3,0S,1U7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,5,3,37,4,PC,U7,3,-6,0PP,0CC,0P,0C,1U7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,6,3,38,4,P-,U7,3,4,0PP,1P,2U7:,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,7,3,39,4,-C,U7,3,4,0CC,1C,2U7:,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,8,3,40,4,1A,U7,3,3,01A,1U7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,9,3,41,4,1B,U7,3,3,01B,1U7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,10,3,42,4,1C,U7,3,3,01C,1U7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,11,3,43,4,1D,U7,3,3,01D,1U7:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0,4,44,8,--,RB,4,2,0KB:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,1,4,45,8,Re,RB,4,2,0R,1KB:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,2,4,46,8,B1,RB,4,2,0B,1KB:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,3,4,47,8,B2,RB,4,2,0B,1KB:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,4,4,48,8,Su,RB,4,3,0S,1KB:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,5,4,49,8,PC,RB,4,-6,0PP,0CC,0P,0C,1KB:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,6,4,50,8,P-,RB,4,4,0PP,1P,2KB:,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,7,4,51,8,-C,RB,4,4,0CC,1C,2KB:,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,8,4,52,8,1A,RB,4,3,01A,1KB:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,9,4,53,8,1B,RB,4,3,01B,1KB:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,10,4,54,8,1C,RB,4,3,01C,1KB:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,11,4,55,0,1D,RB,4,3,01D,1KB:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,mode,有効BET数(bit管理),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,成立B,遷移RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,ベット数,滞在ボーナスモード,滞在RTモード,,--,Re,B1,B2,Su,PC,P-,-C,--,Re,B1,B2,Su,PC,P-,-C,1A,1B,1C,1D,--,Re,B1,B2,Su,PC,P-,-C,1A,1B,1C,1D,--,Re,B1,B2,Su,PC,P-,-C,1A,1B,1C,1D,--,Re,B1,B2,Su,PC,P-,-C,1A,1B,1C,1D,
;,flagMax,set,betNum,gamemode,RTMode,randM,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,
;,56,0,3,0,0,65536,43916,8978,3720,930,800,6660,33,10,3,3,0,10,13,13,13,13,32,13,2,0,3,3,10,10,13,13,43,8,8,43,56,10,3,3,0,14,19,48,0,48,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
;,56,1,3,0,0,65536,43746,8978,3800,950,800,6710,33,10,3,3,0,10,13,13,13,13,32,13,2,0,3,3,10,10,13,13,43,8,8,43,64,10,3,3,0,14,21,52,0,52,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
;,56,2,3,0,0,65536,43579,8978,3876,969,800,6760,33,12,4,4,0,12,13,13,13,13,32,13,2,0,4,4,12,12,13,13,43,8,8,43,66,12,4,4,0,18,21,52,0,52,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
;,56,3,3,0,0,65536,43384,8978,3952,988,840,6800,33,12,4,4,0,12,13,13,13,13,32,13,2,0,4,4,12,12,13,13,43,8,8,43,72,12,4,4,0,18,23,57,0,57,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
;,56,4,3,0,0,65536,43012,8978,4029,1008,840,6850,67,18,6,6,0,18,23,11,11,23,67,23,4,0,9,9,18,18,11,11,69,8,8,108,111,18,6,6,0,18,12,45,0,45,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
;,56,5,3,0,0,65536,39598,8978,4100,1025,840,6900,335,90,30,30,0,90,115,55,55,115,335,115,20,0,45,45,90,90,55,55,345,40,40,540,555,90,30,30,0,90,60,225,0,225,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
;,56,-1,1,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52522,1,1,2,4489,4489,4032,0,0,0,0,0,0,0,
;,56,0,2,1,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,-101,100,1,0,0,
;,56,1,2,1,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,-71,70,1,0,0,
;,56,2,2,1,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,-138,130,8,0,0,
;,56,3,2,1,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,-108,100,8,0,0,
;,56,4,2,1,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,-162,130,32,0,0,
;,56,5,2,1,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,-192,160,32,0,0,
;,56,-1,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,0,,1.4923,7.29962,17.6172,70.4688,81.92,9.84024,1985.94,6553.6,21845.3,21845.3,-,6553.6,5041.23,5041.23,5041.23,5041.23,2048,5041.23,32768,-,21845.3,21845.3,6553.6,6553.6,5041.23,5041.23,1524.09,8192,8192,1524.09,1170.29,6553.6,21845.3,21845.3,-,4681.14,3449.26,1365.33,-,1365.33,3449.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
;,,,,,1,,1.4981,7.29962,17.2463,68.9853,81.92,9.76692,1985.94,6553.6,21845.3,21845.3,-,6553.6,5041.23,5041.23,5041.23,5041.23,2048,5041.23,32768,-,21845.3,21845.3,6553.6,6553.6,5041.23,5041.23,1524.09,8192,8192,1524.09,1024,6553.6,21845.3,21845.3,-,4681.14,3120.76,1260.31,-,1260.31,3120.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
;,,,,,2,,1.50384,7.29962,16.9082,67.6326,81.92,9.69467,1985.94,5461.33,16384,16384,-,5461.33,5041.23,5041.23,5041.23,5041.23,2048,5041.23,32768,-,16384,16384,5461.33,5461.33,5041.23,5041.23,1524.09,8192,8192,1524.09,992.97,5461.33,16384,16384,-,3640.89,3120.76,1260.31,-,1260.31,3120.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
;,,,,,3,,1.5106,7.29962,16.583,66.332,78.019,9.63765,1985.94,5461.33,16384,16384,-,5461.33,5041.23,5041.23,5041.23,5041.23,2048,5041.23,32768,-,16384,16384,5461.33,5461.33,5041.23,5041.23,1524.09,8192,8192,1524.09,910.222,5461.33,16384,16384,-,3640.89,2849.39,1149.75,-,1149.75,2849.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
;,,,,,4,,1.52367,7.29962,16.2661,65.0159,78.019,9.5673,978.149,3640.89,10922.7,10922.7,-,3640.89,2849.39,5957.82,5957.82,2849.39,978.149,2849.39,16384,-,7281.78,7281.78,3640.89,3640.89,5957.82,5957.82,949.797,8192,8192,606.815,590.414,3640.89,10922.7,10922.7,-,3640.89,5461.33,1456.36,-,1456.36,5461.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
;,,,,,5,,1.65503,7.29962,15.9844,63.9376,78.019,9.49797,195.63,728.178,2184.53,2184.53,-,728.178,569.878,1191.56,1191.56,569.878,195.63,569.878,3276.8,-,1456.36,1456.36,728.178,728.178,1191.56,1191.56,189.959,1638.4,1638.4,121.363,118.083,728.178,2184.53,2184.53,-,728.178,1092.27,291.271,-,291.271,1092.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
;,,,,,1bet,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.24778,65536,65536,32768,14.5992,14.5992,16.254,-,-,-,-,-,-,-,
;,,,,,2bet-0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-648.871,655.36,65536,-,-,
;,,,,,2bet-1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-923.042,936.229,65536,-,-,
;,,,,,2bet-2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-474.899,504.123,8192,-,-,
;,,,,,2bet-3,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-606.815,655.36,8192,-,-,
;,,,,,2bet-4,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-404.543,504.123,2048,-,-,
;,,,,,2bet-5,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-341.333,409.6,2048,-,-,
;,,,,,RB,,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,4650,3720,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39322,26214,,,,,,
;,,,,,,,,4750,3800,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35746,29790,,,,,,
;,,,,,,,,4845,3876,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39322,26214,,,,,,
;,,,,,,,,4940,3952,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35746,29790,,,,,,
;,,,,,,,,5037,4029,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39322,26214,,,,,,
;,,,,,,,,5125,4100,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35746,29790,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;T,41,5,0,3,0,65536,42874,8978,4100,1025,840,6900,65,0,0,0,0,0,40,40,24,40,40,24,25,0,0,0,0,0,46,46,32,46,46,32,57,0,0,0,0,0,54,54,0,54,54,0,,,,,,,,,,,,,,,
;T,41,5,0,3,0,65536,42874,8978,4100,1025,840,6900,45,18,6,6,0,18,36,36,18,36,36,18,17,0,9,9,18,18,38,38,25,38,38,25,45,18,6,6,0,18,45,45,0,45,45,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,randM,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,,,,,,,,,,,,,,,
,,,,,,65536,43629,8978,3720,930,800,6660,67,18,6,6,0,18,23,11,11,23,67,23,4,0,9,9,18,18,11,11,69,8,8,108,111,18,6,6,0,18,12,45,0,45,12,0,,,,,,,,,,,,,,,
,,,,,,65536,43479,8978,3800,950,800,6710,67,18,6,6,0,18,23,11,11,23,67,23,4,0,9,9,18,18,11,11,69,8,8,108,111,18,6,6,0,18,12,45,0,45,12,0,,,,,,,,,,,,,,,
,,,,,,65536,43334,8978,3876,969,800,6760,67,18,6,6,0,18,23,11,11,23,67,23,4,0,9,9,18,18,11,11,69,8,8,108,111,18,6,6,0,18,12,45,0,45,12,0,,,,,,,,,,,,,,,
,,,,,,65536,43159,8978,3952,988,840,6800,67,18,6,6,0,18,23,11,11,23,67,23,4,0,9,9,18,18,11,11,69,8,8,108,111,18,6,6,0,18,12,45,0,45,12,0,,,,,,,,,,,,,,,
,,,,,,65536,43012,8978,4029,1008,840,6850,67,18,6,6,0,18,23,11,11,23,67,23,4,0,9,9,18,18,11,11,69,8,8,108,111,18,6,6,0,18,12,45,0,45,12,0,,,,,,,,,,,,,,,
,,,,,,65536,39598,8978,4100,1025,840,6900,335,90,30,30,0,90,115,55,55,115,335,115,20,0,45,45,90,90,55,55,345,40,40,540,555,90,30,30,0,90,60,225,0,225,60,0,,,,,,,,,,,,,,,
